# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu Jan 20 06:34:56 2022
#
# User preference: *
#
# CONSTRAINT:  where (default_flag = 1)
#
# COLUMN pl_name:        Planet Name
# COLUMN default_flag:   Default Parameter Set
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_ratdor:      Ratio of Semi-Major Axis to Stellar Radius
# COLUMN pl_ratror:      Ratio of Planet to Stellar Radius
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN sy_vmag:        V (Johnson) Magnitude
# COLUMN sy_jmag:        J (2MASS) Magnitude
#
pl_name,default_flag,pl_orbper,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_ratdor,pl_ratror,st_teff,st_rad,sy_vmag,sy_jmag
11 Com b,1,326.03000000,,,6165.60000,19.40000,Msini,,,4742.00,19.00,4.7230700,2.9430000
11 UMi b,1,516.21997000,,,4684.81420,14.74000,Msini,,,4213.00,29.79,5.0130000,2.8760000
14 And b,1,185.84000000,,,1525.50000,4.80000,Msini,,,4813.00,11.00,5.2313300,3.0190000
14 Her b,1,1773.40002000,,,1481.08780,4.66000,Msini,,,5338.00,0.93,6.6193500,5.1580000
16 Cyg B b,1,798.50000000,,,565.73740,1.78000,Msini,,,5750.00,1.13,6.2150000,4.9930000
17 Sco b,1,578.38000000,,,1373.01872,4.32000,Msini,,,4157.00,25.92,5.2260600,2.9430000
18 Del b,1,993.30000000,,,3273.50000,10.30000,Msini,,,4979.00,8.50,5.5104800,4.0320000
1RXS J160929.1-210524 b,1,,,,3000.00000,8.00000,Mass,,,4060.00,,12.6180000,9.8200000
24 Boo b,1,30.35060000,,,289.22530,0.91000,Msini,,,4893.00,10.64,5.5900000,3.8450000
24 Sex b,1,452.80000000,,,632.46000,1.99000,Msini,,,5098.00,4.90,6.4535000,5.2920000
24 Sex c,1,883.00000000,,,273.32000,0.86000,Msini,,,5098.00,4.90,6.4535000,5.2920000
2M0437 b,1,,,,1271.31363,4.00000,Mass,,,3100.00,0.84,16.1860000,11.2980000
2MASS J01033563-5515561 AB b,1,,,,4131.79000,13.00000,Mass,,,,,15.7880000,10.1620000
2MASS J01225093-2439505 b,1,,,,7786.50000,24.50000,Mass,,,3530.00,,14.2440000,10.0840000
2MASS J02192210-3925225 b,1,,16.141,1.440,4417.83700,13.90000,Mass,,,3064.00,0.28,,11.3810000
2MASS J04414489+2301513 b,1,,,,2383.60000,7.50000,Mass,,,,,,14.4190000
2MASS J12073346-3932539 b,1,,,,1589.15000,5.00000,Mass,,,,,,12.9950000
2MASS J19383260+4603591 b,1,416.00000000,,,603.87700,1.90000,Mass,,,,,12.6510000,12.7570000
2MASS J21402931+1625183 A b,1,7336.50000000,10.310,0.920,6657.48000,20.95000,Mass,,,2300.00,0.12,,12.9400000
2MASS J22362452+4751425 b,1,,,,3972.87500,12.50000,Mass,,,4045.00,,12.3680000,9.9750000
30 Ari B b,1,335.10001000,,,4392.41060,13.82000,Msini,,,6331.00,1.41,7.0920900,6.0800000
4 UMa b,1,269.30000000,,,2256.50000,7.10000,Msini,,,4415.00,18.11,4.5801000,2.6190000
42 Dra b,1,479.10000000,,,1233.13000,3.88000,Msini,,,4200.00,22.03,4.8262000,2.9490000
47 UMa b,1,1078.00000000,,,804.08000,2.53000,Msini,,,5872.00,1.21,5.0335200,3.9600000
47 UMa c,1,2391.00000000,,,171.62100,0.54000,Msini,,,5872.00,1.21,5.0335200,3.9600000
47 UMa d,1,14002.00000000,,,521.22000,1.64000,Msini,,,5872.00,1.21,5.0335200,3.9600000
51 Eri b,1,,,,635.66000,2.00000,Mass,,,,,5.2114900,4.7440000
51 Peg b,1,4.23078500,,,150.00900,0.47200,Msini,,,5758.00,1.18,5.4530900,4.6550000
55 Cnc b,1,14.65160000,,,255.40000,0.80360,Msini,,,5172.00,0.94,5.9508400,4.7680000
55 Cnc c,1,44.39890000,,,51.20000,0.16110,Msini,,,5172.00,0.94,5.9508400,4.7680000
55 Cnc d,1,5574.20000000,,,991.60000,3.12000,Msini,,,5172.00,0.94,5.9508400,4.7680000
55 Cnc e,1,0.73654740,1.875,0.167,7.99000,0.02514,Mass,3.520000,0.01820,5172.00,0.94,5.9508400,4.7680000
55 Cnc f,1,259.88000000,,,47.80000,0.15030,Msini,,,5172.00,0.94,5.9508400,4.7680000
6 Lyn b,1,934.30000000,,,638.83830,2.01000,Msini,,,4938.00,5.20,5.8730700,4.2720000
61 Vir b,1,4.21500000,,,5.10000,0.01600,Msini,,,5577.00,0.96,4.6955000,3.3340000
61 Vir c,1,38.02100000,,,18.20000,0.05700,Msini,,,5577.00,0.96,4.6955000,3.3340000
61 Vir d,1,123.01000000,,,22.90000,0.07200,Msini,,,5577.00,0.96,4.6955000,3.3340000
7 CMa b,1,735.10000000,,,587.98550,1.85000,Msin(i)/sin(i),,,4826.00,4.87,3.9500000,2.1730000
7 CMa c,1,996.00000000,,,276.51210,0.87000,Msin(i)/sin(i),,,4826.00,4.87,3.9500000,2.1730000
70 Vir b,1,116.68800000,,,2357.02728,7.41600,Msini,,,5495.00,1.89,4.9680800,3.7980000
75 Cet b,1,691.90000000,,,953.49000,3.00000,Msini,,,4846.00,10.50,5.3532000,3.9310000
8 UMi b,1,93.40000000,,,416.35730,1.31000,Msini,,,4847.00,10.30,6.8329500,5.0690000
81 Cet b,1,952.70000000,,,1684.40000,5.30000,Msini,,,4785.00,11.00,5.6430700,3.9400000
91 Aqr b,1,181.40000000,,,1017.00000,3.20000,Msini,,,4665.00,11.00,4.2394600,2.2630000
